2048,70,1
2048 bricks,5,28
22seconds,9,2
2cars,18,2
adventure cube,0,94
amazing brick,5,3
amazing ninja,37,3
amazing thief,51,1
around the world,0,183
Arrow,28,1
ball jump,0,88
balls race,52,1
ballz,0,145
ballz break,0,202
ballz rush,0,10
ballz shooter,0,8
bendy road,0,35
bitcoin,0,105
block it,4,14
blocks,0,101
blue edge,0,47
bottle flip,9,4
bounce,24,7
bouncing ball,27,1
bouncing ball 2,0,39
break liner,2,10
bricks,7,5
bridge,0,40
bruce lee dragon run,0,338
busted brakes,0,192
car vs cops,25,2
catch up,14,3
Charg.io,0,605
circle,4,97
circle the dot,13,1
clash.io,2,28
cloud path,3,7
clumsy clmber,51,4
color ballz,16,1
color jump,0,187
crazy circle,1,49
cube jump,2,2
cubriko,0,196
dancing hot dog,0,92
desiigner's panda rush,0,119
don't fall,11,30
don't touch the spikes,22,4
don't touch the white tile,10,9
dot spinner,0,126
dragon jump,2,47
drill up,0,215
dunk hoop,11,7
dunk line,54,1
dunk shot,12,3
duo,0,94
elevator,0,80
escape,0,-
exodus,0,31
eyes cube,1,64
falling ballz,8,7
fans rush,0,70
fidget spinner,17,3
finger driver,28,1
fit,6,4
fit in the hole,16,1
flip,2,33
flippy,1,20
floors,5,9
fruit master,2,99
fuse ballz,3,5
go up,0,19
gravity switch,2,6
hat trick shots,0,57
hazy race,0,65
helix,39,1
hoop rush,0,104
hop,3,4
hop hop hop,4,45
hop hop hop underwater,0,194
horizon,9,7
impossible journey,1,108
jelly jump,40,1
jelly run,0,52
jump,6,6
jump car,1,25
jump nuts,0,175
jumping fish,12,7
jumpy,0,77
just jump,1,55
ketchapp basketball,7,4
ketchapp soccer,2,24
ketchapp summer sports,7,20
ketchapp tennis,5,12
ketchapp winter sports,5,46
knife hit,120,1
kubik,0,65
light on,4,46
loop,1,34
magic river,0,19
make them fall,28,2
make them fight,0,115
make them jump,63,1
mannequin challenge,0,92
mr gun,4,10
nonsense fall,3,70
phases,4,5
pinball sniper,4,39
pocket bowling,0,143
pocket pool,2,4
pocket snap,0,31
protect the planets,0,131
push the ssquares,0,-
qubes,0,18
rider,29,2
risky road,14,9
roller coaster,0,31
rotate,0,26
rotator,1,32
run bird run,10,11
rush,25,1
rush hero,0,67
scream go hero,0,500
sheeperzzz,0,158
sky,24,3
sky ball,80,1
sky ward,19,5
slashy sushi,0,113
slicing,0,61
slow down,50,1
space frontier,0,11
space frontier2,1,8
space snake,3,11
speed golf,0,70
spike run,0,123
spin,3,27
spiral,24,2
spiral tower,0,77
splash,2,7
spring ninja,27,2
stack,55,1
stack ar,12,1
stairs,6,7
steps,0,56
stick hero,60,1
stick man rush,6,6
swing,6,6
swipe the arrows,4,4
the branch,22,1
the floor is lava,15,2
the four,0,34
the line zen,26,1
the pit,4,14
the tower,45,1
the tower assassin's creed,0,20
the walking pet,8,18
the walls,1,4
too many dangers,0,1196
totem smash,0,84
trio,5,16
triple jump,23,4
turn,0,49
twist,57,1
versus run,0,37
wall switch,0,147
wave,0,50
wire,3,15
zenfinty,0,87
zig zag,78,1
